participant_id,session,file_name,trial_type,trial,phase,swap_count,choice,chosen_logo,rt_s,outcome,points,is_optimal,regret,usable,position_in_bandit_stream,food_bonus_cue,cue_type,target_rt_ms,adaptive_window_ms,target_hit,target_too_fast,target_no_response
1,1,sub-001_ses-001_1.csv,bandit,170.0,3.0,2.0,2.0,triangle,0.2928,loss,-10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,171.0,3.0,2.0,3.0,heart,0.3301,loss,-10.0,0.0,20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,172.0,3.0,2.0,2.0,triangle,0.7241,loss,-10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,173.0,3.0,2.0,3.0,heart,0.4187,reward,10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,174.0,3.0,2.0,3.0,heart,0.3169,reward,10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,175.0,3.0,2.0,3.0,heart,0.2709,reward,10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,176.0,3.0,2.0,3.0,heart,0.2179,loss,-10.0,0.0,20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,177.0,3.0,2.0,3.0,heart,0.3022,reward,10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,178.0,3.0,2.0,3.0,heart,0.6831,reward,10.0,0.0,-20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,179.0,3.0,2.0,3.0,heart,0.5693,reward,10.0,0.0,-20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,180.0,3.0,2.0,3.0,heart,0.4005,reward,10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,181.0,3.0,2.0,3.0,heart,0.4158,loss,-10.0,0.0,20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,182.0,3.0,2.0,2.0,triangle,0.2811,reward,10.0,1.0,0.0,True,,,,,,,,
