trial,swap_count,choice_arm,reward,is_optimal,q_arm1_pre,q_arm2_pre,q_arm3_pre,q_chosen_pre,p_choose_arm1,p_choose_arm2,p_choose_arm3,p_chosen,prediction_error,alpha_used,rt,participant_id,session,file_name
82,1,3,1,1.0,-0.5719029741794038,-0.9999470609571071,-0.9781066529970701,-0.9781066529970701,0.5883978545379749,0.20014058993594666,0.21146155552607843,0.21146155552607843,1.9781066529970701,0.8052152389611741,0.2889,1,1,sub-001_ses-001_1.csv
83,1,3,1,1.0,-0.5719029741794038,-0.9999470609571071,0.614694968286654,0.614694968286654,0.047137627722992646,0.01603362851835807,0.9368287437586492,0.9368287437586492,0.38530503171334596,0.8052152389611741,0.4345,1,1,sub-001_ses-001_1.csv
84,1,3,1,1.0,-0.5719029741794038,-0.9999470609571071,0.9249484514706587,0.9249484514706587,0.022338293428343887,0.007598258882880554,0.9700634476887755,0.9700634476887755,0.07505154852934126,0.8052152389611741,0.6951,1,1,sub-001_ses-001_1.csv
85,1,3,1,1.0,-0.5719029741794038,-0.9999470609571071,0.9853811020541184,0.9853811020541184,0.019264991610053257,0.006552890626997138,0.9741821177629495,0.9741821177629495,0.01461889794588156,0.8052152389611741,0.4912,1,1,sub-001_ses-001_1.csv
86,1,3,1,1.0,-0.5719029741794038,-0.9999470609571071,0.9971524614569605,0.9971524614569605,0.01871617883272676,0.00636621470326394,0.974917606464009,0.974917606464009,0.0028475385430395406,0.8052152389611741,0.4027,1,1,sub-001_ses-001_1.csv
87,1,3,1,1.0,-0.5719029741794038,-0.9999470609571071,0.9994453428853451,0.9994453428853451,0.0186110648882362,0.006330460720310766,0.975058474391453,0.975058474391453,0.0005546571146548551,0.8052152389611741,0.4996,1,1,sub-001_ses-001_1.csv
88,1,3,1,1.0,-0.5719029741794038,-0.9999470609571071,0.9998919612464635,0.9998919612464635,0.018590657333316475,0.006323519192483491,0.9750858234741999,0.9750858234741999,0.00010803875353648795,0.8052152389611741,0.4415,1,1,sub-001_ses-001_1.csv
89,1,3,1,1.0,-0.5719029741794038,-0.9999470609571071,0.9999789556972095,0.9999789556972095,0.018586684790742748,0.00632216795197824,0.9750911472572789,0.9750911472572789,2.104430279048497e-05,0.8052152389611741,0.4381,1,1,sub-001_ses-001_1.csv
90,1,3,1,1.0,-0.5719029741794038,-0.9999470609571071,0.9999959008905097,0.9999959008905097,0.018585911096246424,0.006321904783661548,0.9750921841200918,0.9750921841200918,4.0991094902853575e-06,0.8052152389611741,0.5823,1,1,sub-001_ses-001_1.csv
91,1,3,1,1.0,-0.5719029741794038,-0.9999470609571071,0.9999992015559375,0.9999992015559375,0.018585760396000735,0.006321853523726041,0.975092386080273,0.975092386080273,7.984440625330436e-07,0.8052152389611741,0.4099,1,1,sub-001_ses-001_1.csv
